disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1285,,,,,518798.92,331705.11,182722.6,2023-11-05T00:00:00.000Z,,86350,79b45e88f603bdc74053d30911954868a5c3bc35,2023-11-05T03:42:32.355Z,3176e935-c096-42b0-bae6-37761a48ec48
1286,,,,,2083481.55,147935.45,1935546.1,2023-11-05T00:00:00.000Z,,621569,66df1184bf0fc270dca659bb0e85912028a85832,2023-11-05T03:42:32.355Z,7a5a1210-232b-4210-ae61-31883580958b
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1287,,,,,3704291.45,2689766.86,906909.42,2023-11-05T00:00:00.000Z,,3182052,435559001ea28148400027d4685c5d1e37228b0a,2023-11-05T03:42:32.355Z,96a7843f-9d17-4b6c-8a70-a8daa8419797
1288,,,,,7734889.99,727111.27,6928401.83,2023-11-05T00:00:00.000Z,,1359545,0b0e8d8390c87c047d2415c6bdde792cc456de27,2023-11-05T03:42:32.355Z,5ad4ebf1-cbe9-4de1-87d1-b1119beb613d
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1289,,,,,785818.09,84066.71,685083.81,2023-11-05T00:00:00.000Z,,305977,de8444d15f6e6314cc1dc381c23c68f25df2245e,2023-11-05T03:42:32.355Z,f720203f-6880-4d48-8b4e-b56399cc6d02
1292,,,,,298105794.06,143602692.89,150485207.39,2023-11-05T00:00:00.000Z,,67665966,4a3e0d2a4be7c67a8a9835d5e929ab6df77ee4c2,2023-11-05T03:42:32.355Z,6038c73d-6747-43e9-970c-01489fa8df69
1293,,,,,19890308.77,8206956.08,11605641.68,2023-11-05T00:00:00.000Z,,4034816,210530cc7628daea4b928e28e3a947c975197726,2023-11-05T03:42:32.355Z,0ac514d4-e6a1-4635-b68b-43d55d9775c0
1294,,,,,10347269.34,4079425.04,5840828.95,2023-11-05T00:00:00.000Z,,4277685,ad65965c4c518abc5cd4ac860c0c8ebf2cb55b40,2023-11-05T03:42:32.355Z,d8d3edf1-7e51-4bb0-99b8-03341652e372
1295,,,,,38703382.74,17818465.28,20285139.28,2023-11-05T00:00:00.000Z,,9436261,84f138f6dd493d2d7deb4c48531d6a2244247e22,2023-11-05T03:42:32.355Z,2f1b45c2-33f2-4cf2-998b-05d059a35baa
1296,,,,,41182922.07,10759369.68,29436671.56,2023-11-05T00:00:00.000Z,,4413443,ad2d1e8fc204188ef5795c5fd9f99a75be38848e,2023-11-05T03:42:32.355Z,13b7f677-a791-470d-8287-f5a12acb0dd1
1297,,,,,3374929.57,413506.66,2970485.64,2023-11-05T00:00:00.000Z,,831368,e9d837b2b491a7644e07f0306bad1c6f182215d5,2023-11-05T03:42:32.355Z,eaba14ab-2eca-4183-ae80-cce57f7cee1f
1299,,,,,20544924.45,13046343.17,7178637.83,2023-11-05T00:00:00.000Z,,6074584,e64a11c9f6649d9e04fe04035a933c455af01cac,2023-11-05T03:42:32.355Z,9c4ebd33-e107-4a6f-b807-e62282a45ce7
1300,,,,,34309695.49,16704381.41,17070710.07,2023-11-05T00:00:00.000Z,,3599288,439094b3498e085a6639ffa5f93846c3efc982cf,2023-11-05T03:42:32.355Z,24c842d0-79a5-4015-bd11-c0ad92521e4b
1301,,,,,1968329.67,18254.17,1953360.86,2023-11-05T00:00:00.000Z,,7803,fb04648b3eb3dec83a361d82292f1a5bbed15df9,2023-11-05T03:42:32.355Z,cd6d0a63-8f43-46e5-a75b-240b2ad4b23e
1302,,,,,1875868.51,590763.4,1224126.36,2023-11-05T00:00:00.000Z,,107462,43730f889a73e478580e14101266a6e544e3c8c2,2023-11-05T03:42:32.355Z,300e13f0-4b3d-47e3-a0cf-312c3b7f933d
1303,,,,,5462529.93,1195275.68,4267254.25,2023-11-05T00:00:00.000Z,,1061424,db3e5f25ffb30b8cd876e2a5c3b017daec526521,2023-11-05T03:42:32.355Z,3300d99c-b42d-4973-9820-1d84dab6c987
1305,,,,,594693.82,73108.21,521585.61,2023-11-05T00:00:00.000Z,,11345,2fd86d95be30db17398e82a0ea607440db8939ed,2023-11-05T03:42:32.355Z,c85237ce-5d96-478f-9b7d-9a43069ace8f
1306,,,,,106261560.28,32644798.12,72246572.61,2023-11-05T00:00:00.000Z,,21423043,306e668d55d638f79c441fb8b4b43db6d2075974,2023-11-05T03:42:32.355Z,04e21246-f07b-4f8a-9ff4-d9337c254382
1307,,,,,1010652.61,397663.92,612988.69,2023-11-05T00:00:00.000Z,,111961,fd5c914bbb58bda5ee6ba8bf975bd811b75a4150,2023-11-05T03:42:32.355Z,a3dead2e-abe2-4e47-a51b-55f0794cae68
1308,,,,,920741.26,21376.49,880889.25,2023-11-05T00:00:00.000Z,,136145,d40acd175bbed80bc08827e8b6c51ad674048a08,2023-11-05T03:42:32.355Z,ade4b2e7-f03b-4126-bbcc-6a8be290331e
1309,,,,,4844695.58,1257343.05,1891051.87,2023-11-05T00:00:00.000Z,,1847365,5f01a2eb1279dc700ab7803e0621c79dcb2a9d87,2023-11-05T03:42:32.355Z,82dc60e3-0202-4159-a020-3cabc7869fd9
1310,,,,,4680340.29,1386231.25,3245139.39,2023-11-05T00:00:00.000Z,,250405,3a61050a70bf72fedf2196a5cb1207f830617e6f,2023-11-05T03:42:32.355Z,88783b95-fd70-412c-8b99-6314fbcdfa2e
1311,,,,,36909135.59,26066940.79,10849669.36,2023-11-05T00:00:00.000Z,,5289650,528f2cc588790ad7ece37b6ab1072a34731d80ad,2023-11-05T03:42:32.355Z,1679d7b0-fb29-480e-b481-60acc6d72d5a
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1312,,,,,27368107.85,20690288.33,6631775.1,2023-11-05T00:00:00.000Z,,3453353,8a11793acfb9600bf57af2cd265f68aca22e6cc7,2023-11-05T03:42:32.355Z,bfcd4928-f027-44f0-838d-040604820eab
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1313,,,,,8726361.63,3164581.04,5580429.08,2023-11-05T00:00:00.000Z,,1311471,072268da5bf31207cb963fa0597ba13d00de5ccf,2023-11-05T03:42:32.355Z,c82c71e1-2f54-425b-8f98-400439b5c90f
1314,,,,,2605294.29,1170005.58,1430613.75,2023-11-05T00:00:00.000Z,,405517,631d0b1eb45184248c7119191a7d6a132ecb39a8,2023-11-05T03:42:32.355Z,7cbd65fe-b418-4d76-b5d4-bb109ce689ba
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1315,,,,,2043473.79,1256195.35,847752.31,2023-11-05T00:00:00.000Z,,662973,35bd22d133602fc0c2052f86dbb99816faac53e3,2023-11-05T03:42:32.355Z,2d33839b-91c6-4e01-891b-d5e919a54bb3
1316,,,,,10798817.35,6382892.52,4291133.67,2023-11-05T00:00:00.000Z,,1583458,2964fba83a160e01373af4d31bdbf0ce451a7dfd,2023-11-05T03:42:32.355Z,dff24919-c246-4033-bac4-c4df9980c76f
1317,,,,,3394920.15,1502165.83,1892754.32,2023-11-05T00:00:00.000Z,,438084,453f32fd0439bc0eb7253251a7e9edd36a7b4138,2023-11-05T03:42:32.355Z,7c17c576-bb59-4d7c-8dbf-e75a3970bf61
1318,,,,,13588960.08,13193223.02,451699.92,2023-11-05T00:00:00.000Z,,1454376,983c1771c307b4fbb89e39e4c708b7f851078db3,2023-11-05T03:42:32.355Z,76fe9dab-0f3d-4508-b21f-0670a10189fc
1319,,,,,5134082.94,329668.71,4780114.36,2023-11-05T00:00:00.000Z,,1289906,14b2028037e8f334a43801059053b4e5b95b1774,2023-11-05T03:42:32.355Z,5117801b-982d-4f2c-af9b-1d692d70cea7
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1320,,,,,2820111.53,245508.68,2514961.75,2023-11-05T00:00:00.000Z,,420140,5923d7a641da977cf510370114be6287ae2847b3,2023-11-05T03:42:32.355Z,09bb4d3c-ae17-4440-8a3e-2ddf472c6650
1323,,,,,3773011.29,2434987.46,1282012.04,2023-11-05T00:00:00.000Z,,556864,de139cbe29d92ff0c62cc26305b99d0f31380897,2023-11-05T03:42:32.355Z,f3c9a577-e688-4bba-a74d-b05187d859d5
1324,,,,,10907868.92,10902315.84,-40533.34,2023-11-05T00:00:00.000Z,,1613748,05382a5a0a4819695b0b3322df7708c80f485f43,2023-11-05T03:42:32.355Z,941fc7fc-a6d2-4fc1-999a-be9efc89eccb
1325,,,,,1354522.51,1343225.92,,2023-11-05T00:00:00.000Z,,98973,f85d89dc99fcfe7932e081774905d038592d238b,2023-11-05T03:42:32.355Z,9678ba84-529b-433c-9000-3a173fc899ca
1326,,,,,2191132.01,26462.73,2159308.27,2023-11-05T00:00:00.000Z,,333150,99031a8d66a28c5f18c40e713ca2bce01c98b7cb,2023-11-05T03:42:32.355Z,2cfea795-0de7-438e-bb0e-5e7051344283
1327,,,,,619592.3,274870.5,335828.76,2023-11-05T00:00:00.000Z,,343409,aef3ab92c274cc1d3fa8345e3931f92d73a6d43f,2023-11-05T03:42:32.355Z,de91c9d1-97df-4ecd-afd4-88891211b9b1
1328,,,,,2551571.28,432319.67,2068700.53,2023-11-05T00:00:00.000Z,,888289,24091284c8b7ce096131d19208df7260b11cf0c5,2023-11-05T03:42:32.355Z,f6def151-3e3e-48fa-abfe-0c4b4d15bc17
1256,,,,,,,,,,645473,e555ac9f6c81428eda01613f113e9f2a78bac3a3,2023-10-09T02:24:46.659Z,8ae2b8e4-8f33-4be1-827d-8acbfb37cfb6
1329,,,,,5652343.85,1460174.48,4205941.58,2023-11-05T00:00:00.000Z,,1557307,c1e9ba00c7a1b25cb2910e4381a8d9e44d99fa12,2023-11-05T03:42:32.355Z,5ef6bcc9-182a-4187-b864-feabfbe4b52a
1330,,,,,1779885.95,156784.46,1615308.59,2023-11-05T00:00:00.000Z,,232618,c98bc80b0fe07a6c2619c769e3204727df924842,2023-11-05T03:42:32.355Z,737d287b-6319-48f6-bcaf-70403e4f2f1a
1331,,,,,3700015.29,1268492.29,2364988.67,2023-11-05T00:00:00.000Z,,449273,42e6b03b55ccff99fc06fc42f9306b7727cc456f,2023-11-05T03:42:32.355Z,7c2375e0-de61-40c4-aed1-65f347544ae8
1332,,,,,10905227.4,1145655.2,9726224.29,2023-11-05T00:00:00.000Z,,3154896,ee34e58b0c7dd919e737bb2e3790fcf21e7eb7cf,2023-11-05T03:42:32.355Z,4afc326d-6d1f-4bda-a325-50b514c2f14a
1333,,,,,11738303.73,3906085.02,7676010.71,2023-11-05T00:00:00.000Z,,4661056,0ff42113a3716a2b3e84e29fa53da4d40f4965fc,2023-11-05T03:42:32.355Z,01be9c28-88da-440a-961a-a9c0b3af2572
1334,,,,,39700101.17,3878032.57,35024447.18,2023-11-05T00:00:00.000Z,,9520801,8d76d27bc8a9beebaf06f6ff6855154781aef8df,2023-11-05T03:42:32.355Z,781128b6-94e8-4efa-b28f-00bf680ef776
1335,,,,,31020492.12,4053927.92,26379603.98,2023-11-05T00:00:00.000Z,,2766765,8b93dbef51073098f5f0a38159713fb6dd4ce9af,2023-11-05T03:42:32.355Z,1784d7aa-d48b-4249-a886-f25f24aee7aa
1336,,,,,2474138.67,11080.45,2431124.77,2023-11-05T00:00:00.000Z,,304005,2f3d0f712984443cd0dec89067bbe5c2108a0a42,2023-11-05T03:42:32.355Z,5f206dc1-2483-4452-a1d0-7242e97c6b67
1321,,,,,,,,,,316618,df6801c6e5b9f881d3a53c2d3a22c4230810b14b,2023-03-18T13:22:12.883Z,0d2fd1ca-29c0-4051-8cfe-f94c5d84e50c
1322,,,,,,,,,,305250,00e53ba279f255d17c73e0672b69cc56f0d98c44,2023-03-18T13:22:12.883Z,eebe0137-979a-4510-a840-219d1a52a00c
1337,,,,,4697327.57,2066492.47,2599444.42,2023-11-05T00:00:00.000Z,,782081,f3497386629da0afbb1765f9de2edd5dfa202e24,2023-11-05T03:42:32.355Z,1c4b77ef-558a-41b3-9c54-17ae986b3dc3
1338,,,,,297203.25,294142.3,3060.95,2023-11-05T00:00:00.000Z,,45256,4e4b89bff1174aad5d4c007d58c88c6fb6356502,2023-11-05T03:42:32.355Z,c99756df-f485-48cd-a719-bce322eb15d5
1343,,,,,3340810.2,642795.32,2670809.27,2023-11-05T00:00:00.000Z,,346748,82817d3da703e47d332d52c6d0a8b4ad276925c1,2023-11-05T03:42:32.355Z,7251c8db-deda-44a8-8dcd-68409c79c682
1344,,,,,18565928.96,527841.99,17408770.89,2023-11-05T00:00:00.000Z,,1922332,5bd08a328a49e8a317ab59a7c121692a2bef587f,2023-11-05T03:42:32.355Z,eafa6722-1856-4b1b-b4c7-6b9709cc5144
1345,,,,,288481152.48,6632491.52,279844097.69,2023-11-05T00:00:00.000Z,,76656943,d5e08dabb7dcdbd4b215ab8f62ec92e17082d323,2023-11-05T03:42:32.355Z,72b02677-5f5a-4115-8031-a51b85b76519
1347,,,,,5616578.93,1514282.42,3706650.48,2023-11-05T00:00:00.000Z,,1343739,628ec8221ff115f79f4be12a7c6da9afe6157b7a,2023-11-05T03:42:32.355Z,a64e8504-787d-4bed-a96a-9697c57e70db
1348,,,,,4128414.91,564631.82,3220924.98,2023-11-05T00:00:00.000Z,,1154842,8a266ddd6e957b1051922b3665e463007920cdb1,2023-11-05T03:42:32.355Z,fdcedc92-f486-4d39-8fb5-2cec8f3172ea
1349,,,,,2838615.94,94167.46,2564548.23,2023-11-05T00:00:00.000Z,,538400,962e867d2c283881f1f128d724f83b351f5f737e,2023-11-05T03:42:32.355Z,82247334-bcc8-482b-86f3-1aa6bf9aadbf
1350,,,,,2127262.15,22787.43,2097786.27,2023-11-05T00:00:00.000Z,,300092,b1e7b0e6847e8a3f328b4c1d4f69d7e69368fd2e,2023-11-05T03:42:32.355Z,658931b3-4245-4db8-988b-6a9a6079b974
1351,,,,,682634.87,4604.47,686029.24,2023-11-05T00:00:00.000Z,,98588,5196511ab0c422d06a2cc2fe5d4a45b3bcdcb4d4,2023-11-05T03:42:32.355Z,52ae972e-70d0-45ea-96d4-5e535b8c8bbe
1352,,,,,1085125.11,1085125.11,,2023-11-05T00:00:00.000Z,,192419,fd6756d7fde4d3920840f7bb175e1e26d4b0a398,2023-11-05T03:42:32.355Z,674f4ddd-c5ea-4214-9e96-fef739cbd170
1353,,,,,817522.69,49651.86,765362.51,2023-11-05T00:00:00.000Z,,104509,609f66e37617644c13d05cddc06de107b5751244,2023-11-05T03:42:32.355Z,89be26a7-49da-426c-a4bf-aefa73c0d775
1354,,,,,185489007.3,152443939.55,33092101.88,2023-11-05T00:00:00.000Z,,28495935,de7147b7aaee487b6541ee6059af89c8cb718ba4,2023-11-05T03:42:32.355Z,41a723f9-c7f0-4649-b0ef-23b8328814ee
1355,,,,,160002351.14,59324006.19,99573522.52,2023-11-05T00:00:00.000Z,,23968328,355e9b201a7010f7bb685bc347a99012aa79d5ae,2023-11-05T03:42:32.355Z,366d57a2-2716-431b-b4c3-7cd6ce8c5511
1356,,,,,39711803.79,24308976.34,15313037.01,2023-11-05T00:00:00.000Z,,4438038,4139892f469efaaae282f22a6a30a4997005c777,2023-11-05T03:42:32.355Z,bfcd5db2-6864-46e8-817a-c99fd39a4af6
1357,,,,,4294159.44,2918003.52,1386461.64,2023-11-05T00:00:00.000Z,,351225,04a3c439c7630b6d4c9aab63ced460704c86625c,2023-11-05T03:42:32.355Z,242f27ef-0370-47dd-8985-7659765e4d63
1339,,,,,,,,,,896815,2fddd87cac23642be8ba270d84e2bb13c90b58dc,2023-03-18T13:22:12.883Z,9e76bea2-e716-4941-847b-f9bc5f271dbb
1340,,,,,,,,,,311009,298b989ad5d263b01b7d7a983c17a1e3304968f4,2023-03-18T13:22:12.883Z,f125dfb7-2a30-495e-949a-98e7613c4cdd
1341,,,,,,,,,,13056,57f82ef8c8a353f683c9cb30970e35127cb83b8a,2023-03-18T13:22:12.883Z,5169019b-820f-49ff-bd8e-b39f1a40a7d2
1342,,,,,,,,,,1000930,9ad21c6b71c474d559e410575a974b2882e1c26d,2023-03-18T13:22:12.883Z,15c8b080-f629-446d-9924-ba75f45ab04d
1358,,,,,727798.23,9329.08,703570.79,2023-11-05T00:00:00.000Z,,103931,6c844115e529c9c4c3388c9974766a457c209bc7,2023-11-05T03:42:32.355Z,fda61d1c-8963-47ff-81c2-9d67487ec1f0
1360,,,,,18209539.53,9579191.49,8903962.17,2023-11-05T00:00:00.000Z,,2730274,81dc06b480eb4301c6d624c1ebfc203dc3afb5be,2023-11-05T03:42:32.355Z,1ddfaacd-48b6-4ba5-baec-c3238dd3aa3f
1361,,,,,66734226.22,7138998.7,54761534.37,2023-11-05T00:00:00.000Z,,18838111,12ad9bbdecfed1ceb1f46510a26da613e5d3d1e8,2023-11-05T03:42:32.355Z,b9784961-acd4-45bd-b999-1139d1bd57b0
1362,,,,,4786803.73,4111602.56,675201.17,2023-11-05T00:00:00.000Z,,106606,0600b39bdf1a656ca7312643be910366e1f52a5a,2023-11-05T03:42:32.355Z,77fd84db-89b5-4147-b889-00c79706cfa6
5467,,,,,,,,,,0,5ba5da0cfe4cd03942004c04f294bf7492e94587,2023-07-06T23:02:58.335Z,36af7f94-d842-4c4c-bac5-7ab68c57b21b
1346,,,,,,,,,,25581719,de80b569ba429dbe71a53c81c5a075ad13e80223,2023-03-18T13:22:12.883Z,4e321bd0-347b-48ba-970e-9e598d5f9945
5468,,,,,,,,,,0,71c10390f28cbe1cf2bf8fde8c26c5b9c0bb246e,2023-07-06T23:02:58.335Z,076fb178-011d-4c46-997f-6139f3dc96db
1363,,,,,3019659.14,103814.9,2934328.57,2023-11-05T00:00:00.000Z,,431125,976ce5f0939ed83941813eb652c12ecf3e9d91ce,2023-11-05T03:42:32.355Z,2ff30e50-0968-4414-820e-9c7f39db1823
1365,,,,,2855252.63,22820.59,2871984.6,2023-11-05T00:00:00.000Z,,417677,0c36bcc30b9174bbb6c3264bd13a0fd86705f5ee,2023-11-05T03:42:32.355Z,a324fb11-6b69-442c-87ec-74337f7c5073
1366,,,,,2697313.17,912342.82,1767548.6,2023-11-05T00:00:00.000Z,,442317,43e9918f151e2205133f530cdd70ee1950f8da09,2023-11-05T03:42:32.355Z,36a690f1-f020-40b8-b2b7-6595239e8ad7
1367,,,,,8618000.36,3601067.84,4689231.55,2023-11-05T00:00:00.000Z,,1876460,183ef6ec933df7873b2b77bf043c759d186baff1,2023-11-05T03:42:32.355Z,e7586abc-5b8a-4691-bb96-6858547c9ad9
1368,,,,,5964308.99,2663455.38,3341706.39,2023-11-05T00:00:00.000Z,,521140,380751ca4c3bbdafdd163a6e6f679697ed3e6b04,2023-11-05T03:42:32.355Z,248c285a-452a-4fad-a453-61cb1fb3c0f6
1369,,,,,19743137.17,11692409.39,8072012.75,2023-11-05T00:00:00.000Z,,3344251,0e411b72e771e55956c60368bc87f25ec5ce6276,2023-11-05T03:42:32.355Z,8affd93e-876e-4d24-b0ea-21aafb7335ca
1370,,,,,36227572.27,8928827.59,27261029.27,2023-11-05T00:00:00.000Z,,5117141,15ea0f4e84db1479c41edefbc3ac67b528386cb5,2023-11-05T03:42:32.355Z,5f5bbb7f-ec70-491b-8bd6-864169699c6e
1371,,,,,1160382.95,164540.76,988792.94,2023-11-05T00:00:00.000Z,,208923,ad2249ef89fe7e4307f49bbdfb6542a18bd34854,2023-11-05T03:42:32.355Z,1fe7f6b0-b705-4f14-a95e-d1ef55e81c56
1372,,,,,5147725.26,1542430.72,3033129.15,2023-11-05T00:00:00.000Z,,310644,5b695608ea0991b8d7047ec2dbcb285a311fc14a,2023-11-05T03:42:32.355Z,42754a0e-e15e-43ed-a2f1-a9683520fc96
1373,,,,,2982075.51,45727.81,2934671.07,2023-11-05T00:00:00.000Z,,415221,530697a5ed49baf46b8fdda7a59b4573e651f193,2023-11-05T03:42:32.355Z,3c9d5f45-40f2-4287-bb7a-5377f41d2c9a
1374,,,,,4621871.5,30085.44,4645199.75,2023-11-05T00:00:00.000Z,,492411,1da6c334bad1453d3e11599b91735e9f8cffe119,2023-11-05T03:42:32.355Z,75d485f4-13f3-41e6-be41-a497b9fcc3d5
1359,,,,,,,,,,273677,5845eedae8cd1037244b821ebfd414e10528e720,2023-03-18T13:22:12.883Z,d4887a6f-6413-42ac-97e5-59435e2fc568
